dataset,num_parties,train_num,partitioning,dirichlet_alpha,epochs,batch_size,client_optimizer,federated_optimizer,model,learning_rate,weight_decay,data_argu,alg,start_round,target_round,random_seed,client_idx,train_acc,test_acc,train_loss,test_loss,auc,low_01,low_05,low_1,low_2,low_5,target_model_type,comm_round
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-loss,0,1,0,0,0.11144444444444444,0.11511111111111111,63.759260961327286,63.57873493968116,0.49829886419753083,0.0022222222222222222,0.006,0.009555555555555555,0.015111111111111112,0.042222222222222223,global,2
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-conf,0,1,0,0,0.11144444444444444,0.11511111111111111,63.759260961327286,63.57873493968116,0.49702995061728394,0.0022222222222222222,0.006,0.009555555555555555,0.015111111111111112,0.042222222222222223,global,2
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-rescaled,0,1,0,0,0.11144444444444444,0.11511111111111111,63.759260961327286,63.57873493968116,0.5004405185185186,0.0015555555555555555,0.006,0.008444444444444444,0.019333333333333334,0.041777777777777775,global,2
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,delta-diff,0,1,0,0,0.11144444444444444,0.11511111111111111,63.759260961327286,63.57873493968116,0.5012659012345679,0.00022222222222222223,0.004888888888888889,0.008666666666666666,0.024666666666666667,0.04511111111111111,global,2
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,delta-ratio,0,1,0,0,0.11144444444444444,0.11511111111111111,63.759260961327286,63.57873493968116,0.5025898765432099,0.00044444444444444447,0.0028888888888888888,0.0077777777777777776,0.018222222222222223,0.052222222222222225,global,2
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,back-front-diff,0,1,0,0,0.11144444444444444,0.11511111111111111,63.759260961327286,63.57873493968116,0.5012659012345679,0.00022222222222222223,0.004888888888888889,0.008666666666666666,0.024666666666666667,0.04511111111111111,global,2
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,back-front-ratio,0,1,0,0,0.11144444444444444,0.11511111111111111,63.759260961327286,63.57873493968116,0.5025898765432099,0.00044444444444444447,0.0028888888888888888,0.0077777777777777776,0.018222222222222223,0.052222222222222225,global,2
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,01-loss,0,1,0,0,0.11144444444444444,0.11511111111111111,63.759260961327286,63.57873493968116,0.5056933333333333,0.0006666666666666666,0.005333333333333333,0.008666666666666666,0.019777777777777776,0.049777777777777775,global,2
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_loss,0,1,0,0,0.11144444444444444,0.11511111111111111,63.759260961327286,63.57873493968116,0.5012659012345679,0.00022222222222222223,0.004888888888888889,0.008666666666666666,0.024666666666666667,0.04511111111111111,global,2
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_conf,0,1,0,0,0.11144444444444444,0.11511111111111111,63.759260961327286,63.57873493968116,0.5063635061728394,0.0006666666666666666,0.005333333333333333,0.008666666666666666,0.019777777777777776,0.049777777777777775,global,2
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_rescaled,0,1,0,0,0.11144444444444444,0.11511111111111111,63.759260961327286,63.57873493968116,0.5039736543209876,0.0006666666666666666,0.0057777777777777775,0.009111111111111111,0.022,0.05288888888888889,global,2
