round,stage,seconds,client_idx
0,snapshot_eval_global,19.944987,3
0,local_train,19.173385,3
0,snapshot_eval_local,20.268760,3
1,snapshot_eval_global,19.971652,3
1,local_train,19.683468,3
1,snapshot_eval_local,20.427041,3
2,snapshot_eval_global,20.427798,3
2,local_train,19.593483,3
2,snapshot_eval_local,20.195750,3
3,snapshot_eval_global,20.291484,3
3,local_train,19.837504,3
3,snapshot_eval_local,20.136902,3
4,snapshot_eval_global,20.364300,3
4,local_train,19.706474,3
4,snapshot_eval_local,20.487883,3
5,snapshot_eval_global,20.057166,3
5,local_train,20.012680,3
5,snapshot_eval_local,20.474643,3
6,snapshot_eval_global,20.576033,3
6,local_train,19.817532,3
6,snapshot_eval_local,20.324857,3
7,snapshot_eval_global,20.490205,3
7,local_train,20.000242,3
7,snapshot_eval_local,20.386790,3
8,snapshot_eval_global,20.265231,3
8,local_train,19.937079,3
8,snapshot_eval_local,20.750729,3
9,snapshot_eval_global,20.778380,3
9,local_train,19.559706,3
9,snapshot_eval_local,20.067393,3
