round,stage,seconds,client_idx
0,snapshot_eval_global,20.367040,1
0,local_train,20.090603,1
0,snapshot_eval_local,19.507180,1
1,snapshot_eval_global,20.171865,1
1,local_train,19.545930,1
1,snapshot_eval_local,20.702169,1
2,snapshot_eval_global,20.391854,1
2,local_train,19.484415,1
2,snapshot_eval_local,20.428409,1
3,snapshot_eval_global,20.113138,1
3,local_train,19.628889,1
3,snapshot_eval_local,20.246611,1
4,snapshot_eval_global,20.458626,1
4,local_train,19.757773,1
4,snapshot_eval_local,20.136520,1
5,snapshot_eval_global,20.596786,1
5,local_train,19.786348,1
5,snapshot_eval_local,20.371651,1
6,snapshot_eval_global,20.517580,1
6,local_train,19.911589,1
6,snapshot_eval_local,20.291000,1
7,snapshot_eval_global,20.493152,1
7,local_train,19.738899,1
7,snapshot_eval_local,20.734256,1
8,snapshot_eval_global,20.441200,1
8,local_train,19.808357,1
8,snapshot_eval_local,20.453836,1
9,snapshot_eval_global,20.424073,1
9,local_train,19.941311,1
9,snapshot_eval_local,20.242884,1
