round,stage,seconds,client_idx
0,snapshot_eval_global,20.267189,0
0,local_train,19.970930,0
0,snapshot_eval_local,19.737364,0
1,snapshot_eval_global,20.484860,0
1,local_train,19.452954,0
1,snapshot_eval_local,20.239179,0
2,snapshot_eval_global,20.563506,0
2,local_train,19.826562,0
2,snapshot_eval_local,20.318071,0
3,snapshot_eval_global,20.666048,0
3,local_train,19.610892,0
3,snapshot_eval_local,20.163610,0
4,snapshot_eval_global,20.418238,0
4,local_train,19.765806,0
4,snapshot_eval_local,20.352216,0
5,snapshot_eval_global,20.743625,0
5,local_train,19.963681,0
5,snapshot_eval_local,20.315457,0
6,snapshot_eval_global,20.417011,0
6,local_train,19.888655,0
6,snapshot_eval_local,20.603193,0
7,snapshot_eval_global,20.478627,0
7,local_train,19.942879,0
7,snapshot_eval_local,20.518433,0
8,snapshot_eval_global,20.491523,0
8,local_train,19.879878,0
8,snapshot_eval_local,20.636908,0
9,snapshot_eval_global,20.249920,0
9,local_train,20.065500,0
9,snapshot_eval_local,20.465081,0
