dataset,num_parties,train_num,partitioning,dirichlet_alpha,epochs,batch_size,client_optimizer,federated_optimizer,model,learning_rate,weight_decay,data_argu,alg,start_round,target_round,random_seed,client_idx,train_acc,test_acc,train_loss,test_loss,auc,low_01,low_05,low_1,low_2,low_5,target_model_type,comm_round
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-loss,0,29,0,0,0.6682814814814815,0.5941333333333333,5.02252540222419,5.227992428221579,0.5174027160493827,0.00044444444444444447,0.0033333333333333335,0.008,0.01577777777777778,0.04555555555555556,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-conf,0,29,0,0,0.6682814814814815,0.5941333333333333,5.02252540222419,5.227992428221579,0.560302864197531,0.0017777777777777779,0.006888888888888889,0.010222222222222223,0.019777777777777776,0.049555555555555554,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-rescaled,0,29,0,0,0.6682814814814815,0.5941333333333333,5.02252540222419,5.227992428221579,0.552855975308642,0.0008888888888888889,0.0044444444444444444,0.008444444444444444,0.016444444444444446,0.052,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,delta-diff,0,29,0,0,0.6682814814814815,0.5941333333333333,5.02252540222419,5.227992428221579,0.45580150617283954,0.0,0.003777777777777778,0.005555555555555556,0.012,0.03333333333333333,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,delta-ratio,0,29,0,0,0.6682814814814815,0.5941333333333333,5.02252540222419,5.227992428221579,0.5449085925925926,0.0,0.0,0.005333333333333333,0.01622222222222222,0.04622222222222222,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,back-front-diff,0,29,0,0,0.6682814814814815,0.5941333333333333,5.02252540222419,5.227992428221579,0.5045351851851851,0.00022222222222222223,0.005111111111111111,0.008666666666666666,0.02422222222222222,0.04555555555555556,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,back-front-ratio,0,29,0,0,0.6682814814814815,0.5941333333333333,5.02252540222419,5.227992428221579,0.5992941481481482,0.0015555555555555555,0.0044444444444444444,0.008444444444444444,0.01622222222222222,0.051333333333333335,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,01-loss,0,29,0,0,0.6682814814814815,0.5941333333333333,5.02252540222419,5.227992428221579,0.6170252345679013,0.0011111111111111111,0.0044444444444444444,0.0077777777777777776,0.014444444444444444,0.04377777777777778,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_loss,0,29,0,0,0.6682814814814815,0.5941333333333333,5.02252540222419,5.227992428221579,0.5138345679012346,0.00022222222222222223,0.0057777777777777775,0.01,0.025777777777777778,0.04822222222222222,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_conf,0,29,0,0,0.6682814814814815,0.5941333333333333,5.02252540222419,5.227992428221579,0.6374334814814815,0.004888888888888889,0.010888888888888889,0.02266666666666667,0.03688888888888889,0.09155555555555556,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_rescaled,0,29,0,0,0.6682814814814815,0.5941333333333333,5.02252540222419,5.227992428221579,0.557079012345679,0.0011111111111111111,0.004222222222222222,0.007333333333333333,0.016666666666666666,0.05466666666666667,global,100
