dataset,num_parties,train_num,partitioning,dirichlet_alpha,epochs,batch_size,client_optimizer,federated_optimizer,model,learning_rate,weight_decay,data_argu,alg,start_round,target_round,random_seed,client_idx,train_acc,test_acc,train_loss,test_loss,auc,low_01,low_05,low_1,low_2,low_5,target_model_type,comm_round
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-loss,0,29,0,0,0.687962962962963,0.567962962962963,0.8740863618190525,1.260661120551879,0.6029121728395062,0.0006666666666666666,0.006,0.01,0.018666666666666668,0.05511111111111111,local,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-conf,0,29,0,0,0.687962962962963,0.567962962962963,0.8740863618190525,1.260661120551879,0.6097663950617284,0.0006666666666666666,0.005555555555555556,0.009555555555555555,0.021555555555555557,0.05644444444444444,local,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-rescaled,0,29,0,0,0.687962962962963,0.567962962962963,0.8740863618190525,1.260661120551879,0.6111614320987655,0.0011111111111111111,0.004666666666666667,0.008,0.01888888888888889,0.05288888888888889,local,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,delta-diff,0,29,0,0,0.687962962962963,0.567962962962963,0.8740863618190525,1.260661120551879,0.4329670617283951,0.0,0.0026666666666666666,0.004,0.008,0.024666666666666667,local,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,delta-ratio,0,29,0,0,0.687962962962963,0.567962962962963,0.8740863618190525,1.260661120551879,0.5656474074074074,0.0,0.008666666666666666,0.008666666666666666,0.023777777777777776,0.06311111111111112,local,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,back-front-diff,0,29,0,0,0.687962962962963,0.567962962962963,0.8740863618190525,1.260661120551879,0.6186665185185185,0.0008888888888888889,0.005111111111111111,0.013555555555555555,0.028444444444444446,0.07666666666666666,local,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,back-front-ratio,0,29,0,0,0.687962962962963,0.567962962962963,0.8740863618190525,1.260661120551879,0.6330990617283951,0.0006666666666666666,0.0057777777777777775,0.010222222222222223,0.017777777777777778,0.058222222222222224,local,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,01-loss,0,29,0,0,0.687962962962963,0.567962962962963,0.8740863618190525,1.260661120551879,0.6329093827160494,0.0,0.005111111111111111,0.010666666666666666,0.017333333333333333,0.05622222222222222,local,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_loss,0,29,0,0,0.687962962962963,0.567962962962963,0.8740863618190525,1.260661120551879,0.6798193827160495,0.0017777777777777779,0.012888888888888889,0.03155555555555556,0.05288888888888889,0.10644444444444444,local,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_conf,0,29,0,0,0.687962962962963,0.567962962962963,0.8740863618190525,1.260661120551879,0.7016588148148148,0.0013333333333333333,0.008444444444444444,0.016,0.03666666666666667,0.10133333333333333,local,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_rescaled,0,29,0,0,0.687962962962963,0.567962962962963,0.8740863618190525,1.260661120551879,0.6708613086419754,0.0015555555555555555,0.004666666666666667,0.008444444444444444,0.016888888888888887,0.04711111111111111,local,100
