dataset,num_parties,train_num,partitioning,dirichlet_alpha,epochs,batch_size,client_optimizer,federated_optimizer,model,learning_rate,weight_decay,data_argu,alg,start_round,target_round,random_seed,client_idx,train_acc,test_acc,train_loss,test_loss,auc,low_01,low_05,low_1,low_2,low_5,target_model_type,comm_round
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-loss,0,19,0,0,0.5586333333333333,0.5246888888888889,7.366340362591323,7.448353250575781,0.5049583456790123,0.00044444444444444447,0.0035555555555555557,0.006666666666666667,0.015111111111111112,0.04377777777777778,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-conf,0,19,0,0,0.5586333333333333,0.5246888888888889,7.366340362591323,7.448353250575781,0.5295665925925925,0.0017777777777777779,0.0071111111111111115,0.010888888888888889,0.019555555555555555,0.052222222222222225,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,fed-rescaled,0,19,0,0,0.5586333333333333,0.5246888888888889,7.366340362591323,7.448353250575781,0.5212262962962964,0.003111111111111111,0.005111111111111111,0.008444444444444444,0.016444444444444446,0.04777777777777778,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,delta-diff,0,19,0,0,0.5586333333333333,0.5246888888888889,7.366340362591323,7.448353250575781,0.479338074074074,0.0,0.0035555555555555557,0.008,0.012444444444444444,0.03888888888888889,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,delta-ratio,0,19,0,0,0.5586333333333333,0.5246888888888889,7.366340362591323,7.448353250575781,0.5178122222222221,0.0,0.0024444444444444444,0.006222222222222222,0.017777777777777778,0.04577777777777778,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,back-front-diff,0,19,0,0,0.5586333333333333,0.5246888888888889,7.366340362591323,7.448353250575781,0.5030125432098765,0.00022222222222222223,0.005111111111111111,0.008444444444444444,0.02422222222222222,0.04488888888888889,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,back-front-ratio,0,19,0,0,0.5586333333333333,0.5246888888888889,7.366340362591323,7.448353250575781,0.548800074074074,0.0,0.005111111111111111,0.012,0.022,0.058,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,01-loss,0,19,0,0,0.5586333333333333,0.5246888888888889,7.366340362591323,7.448353250575781,0.5588503456790124,0.0,0.005111111111111111,0.007555555555555556,0.016888888888888887,0.051333333333333335,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_loss,0,19,0,0,0.5586333333333333,0.5246888888888889,7.366340362591323,7.448353250575781,0.5062333086419752,0.00022222222222222223,0.005555555555555556,0.01,0.025111111111111112,0.04622222222222222,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_conf,0,19,0,0,0.5586333333333333,0.5246888888888889,7.366340362591323,7.448353250575781,0.559043037037037,0.0015555555555555555,0.0028888888888888888,0.009111111111111111,0.024888888888888887,0.06155555555555556,global,100
cifar10,4,2500,iidk,0.5,1,32,adam,FedAvg,resnet56,0.001,0.0001,no,our_rescaled,0,19,0,0,0.5586333333333333,0.5246888888888889,7.366340362591323,7.448353250575781,0.520204024691358,0.0013333333333333333,0.005333333333333333,0.009111111111111111,0.017777777777777778,0.05688888888888889,global,100
